user_id,author_id,cited,timestamp
1,31,101,1260759144
1,10,38,1260759179
1,17,82,1260759182
1,39,49,1260759185
1,47,49,1260759205
1,50,82,1260759151
1,52,104,1260759187
1,62,43,1260759148
1,110,129,1260759125
1,144,23,1260759131
1,150,65,1260759135
1,153,83,1260759203
1,161,20,1260759191
1,165,28,1260759139
1,168,64,1260759194
1,185,95,1260759198
1,186,37,1260759108
1,208,29,1260759113
1,222,20,1260759200
1,223,54,1260759117
1,225,33,835355493
1,235,43,835355681
1,248,102,835355604
1,253,29,835355552
1,261,38,835355586
1,265,29,835356031
1,266,38,835355749
1,272,33,835355532
1,273,39,835356016
1,292,38,835355395
